id_entrega,fecha,zona,tipo_pedido,clima,trafico,tiempo_entrega,retraso
1,2025-08-14 16:37:45.878829,San Miguel,Supermercado,Soleado,Bajo,45,16
2,2025-03-20 03:11:37.062006,San Salvador,Restaurante,Lluvioso,Alto,36,3
3,2025-04-14 01:48:24.765805,San Salvador,Supermercado,Lluvioso,Medio,46,11
4,2025-06-10 07:09:25.710509,Santa Ana,Tienda en línea,Soleado,Medio,46,10
5,2025-08-10 20:19:06.735755,San Salvador,Supermercado,Lluvioso,Medio,57,26
6,2025-03-11 10:36:23.794732,San Salvador,Tienda en línea,Soleado,Bajo,20,0
7,2025-07-18 02:48:58.420749,La Libertad,Supermercado,Lluvioso,Medio,31,0
8,2025-07-31 10:17:38.293856,San Salvador,Supermercado,Lluvioso,Alto,59,23
9,2025-07-05 09:59:41.706462,Santa Ana,Farmacia,Soleado,Alto,43,21
10,2025-03-22 12:29:54.428639,La Libertad,Restaurante,Nublado,Medio,39,11
11,2025-05-20 15:21:35.874302,San Salvador,Farmacia,Nublado,Bajo,30,0
12,2025-06-12 17:40:41.406964,Santa Ana,Tienda en línea,Lluvioso,Alto,49,27
13,2025-06-26 18:41:17.003342,Santa Ana,Farmacia,Lluvioso,Alto,59,39
14,2025-05-29 14:27:15.142656,San Salvador,Tienda en línea,Soleado,Bajo,23,0
15,2025-05-04 15:26:12.630223,San Salvador,Restaurante,Nublado,Bajo,29,0
16,2025-08-21 00:08:20.653594,San Salvador,Restaurante,Nublado,Bajo,45,10
17,2025-06-24 12:55:27.328824,San Salvador,Supermercado,Soleado,Bajo,40,0
18,2025-07-27 12:11:11.631672,Santa Ana,Tienda en línea,Soleado,Bajo,22,0
19,2025-08-07 09:07:41.263785,San Salvador,Restaurante,Nublado,Medio,57,22
20,2025-05-24 06:53:07.698133,Santa Ana,Restaurante,Nublado,Bajo,15,0
21,2025-07-14 06:06:09.560552,La Libertad,Tienda en línea,Nublado,Medio,31,0
22,2025-04-27 06:26:16.598891,San Miguel,Restaurante,Soleado,Alto,50,18
23,2025-06-20 05:47:36.920512,La Libertad,Supermercado,Soleado,Bajo,32,10
24,2025-04-07 06:33:41.794666,Santa Ana,Supermercado,Lluvioso,Alto,71,41
25,2025-08-08 08:41:03.653167,Santa Ana,Restaurante,Soleado,Alto,54,30
26,2025-07-31 04:59:50.451804,San Salvador,Tienda en línea,Lluvioso,Bajo,28,0
27,2025-05-17 05:28:10.286278,San Salvador,Supermercado,Soleado,Bajo,44,24
28,2025-03-05 05:55:03.068345,San Miguel,Restaurante,Soleado,Medio,27,0
29,2025-03-15 02:50:32.065295,Santa Ana,Farmacia,Lluvioso,Medio,45,15
30,2025-06-22 05:27:19.130172,Santa Ana,Tienda en línea,Nublado,Alto,30,0
31,2025-08-01 16:18:13.308943,La Libertad,Supermercado,Soleado,Medio,50,25
32,2025-04-29 04:45:24.468326,San Salvador,Supermercado,Nublado,Medio,38,5
33,2025-06-14 00:01:02.354369,San Miguel,Tienda en línea,Soleado,Medio,27,6
34,2025-08-12 06:15:47.193985,Santa Ana,Tienda en línea,Soleado,Bajo,17,0
35,2025-03-24 01:38:31.741170,Santa Ana,Supermercado,Nublado,Medio,48,24
36,2025-05-28 06:07:18.743418,Santa Ana,Supermercado,Soleado,Bajo,26,5
37,2025-04-18 04:56:34.050671,La Libertad,Tienda en línea,Nublado,Alto,58,30
38,2025-08-18 06:45:51.744467,San Salvador,Tienda en línea,Lluvioso,Alto,45,23
39,2025-06-26 00:32:41.178492,San Miguel,Farmacia,Soleado,Bajo,30,9
40,2025-08-08 01:33:02.088827,La Libertad,Supermercado,Soleado,Alto,56,33
41,2025-08-27 16:22:14.162868,La Libertad,Farmacia,Nublado,Bajo,42,3
42,2025-07-20 15:58:08.427663,Santa Ana,Restaurante,Soleado,Alto,38,0
43,2025-05-31 02:51:39.805068,San Salvador,Restaurante,Nublado,Medio,35,0
44,2025-04-22 13:37:20.061021,San Salvador,Tienda en línea,Nublado,Bajo,37,0
45,2025-08-17 09:17:07.221571,San Miguel,Restaurante,Nublado,Medio,44,10
46,2025-06-02 06:29:27.357744,San Salvador,Supermercado,Nublado,Medio,29,4
47,2025-06-23 11:49:40.740447,La Libertad,Supermercado,Soleado,Alto,59,39
48,2025-06-01 13:03:01.710783,Santa Ana,Supermercado,Soleado,Medio,28,0
49,2025-08-21 02:06:01.854018,Santa Ana,Supermercado,Lluvioso,Alto,44,22
50,2025-04-11 16:27:03.809282,San Salvador,Farmacia,Soleado,Alto,30,10
51,2025-06-05 03:27:54.155993,San Miguel,Tienda en línea,Soleado,Alto,54,31
52,2025-05-22 23:06:22.647997,San Miguel,Farmacia,Soleado,Bajo,26,0
53,2025-03-28 03:35:20.525637,La Libertad,Tienda en línea,Soleado,Alto,56,35
54,2025-04-08 05:21:29.619011,San Salvador,Tienda en línea,Nublado,Alto,45,19
55,2025-03-11 17:48:20.868597,San Salvador,Supermercado,Soleado,Medio,28,0
56,2025-06-26 18:00:31.941335,Santa Ana,Supermercado,Soleado,Alto,58,22
57,2025-05-23 20:14:20.017129,Santa Ana,Restaurante,Nublado,Medio,45,19
58,2025-06-21 10:11:13.694246,Santa Ana,Supermercado,Lluvioso,Medio,53,29
59,2025-07-17 01:05:15.511482,Santa Ana,Supermercado,Lluvioso,Alto,48,19
60,2025-03-11 04:36:47.586684,Santa Ana,Supermercado,Nublado,Alto,36,7
61,2025-08-25 22:17:31.073289,La Libertad,Supermercado,Soleado,Bajo,18,0
62,2025-05-09 18:24:13.825145,San Miguel,Tienda en línea,Nublado,Bajo,27,5
63,2025-03-24 21:23:58.172194,San Miguel,Supermercado,Nublado,Medio,35,5
64,2025-07-23 23:34:43.152282,La Libertad,Farmacia,Lluvioso,Bajo,30,0
65,2025-03-17 15:56:04.761262,La Libertad,Tienda en línea,Lluvioso,Medio,44,11
66,2025-03-24 23:17:31.402982,Santa Ana,Farmacia,Nublado,Alto,58,26
67,2025-04-24 01:12:21.691705,Santa Ana,Tienda en línea,Nublado,Alto,54,21
68,2025-03-13 00:37:17.100020,Santa Ana,Farmacia,Nublado,Bajo,36,1
69,2025-07-25 10:14:25.307664,San Salvador,Tienda en línea,Soleado,Alto,56,33
70,2025-06-10 03:46:46.688668,San Salvador,Tienda en línea,Soleado,Alto,29,0
71,2025-04-11 13:44:59.405106,Santa Ana,Restaurante,Soleado,Alto,58,25
72,2025-04-04 20:29:23.850427,San Miguel,Supermercado,Nublado,Alto,44,13
73,2025-06-20 21:23:28.109692,La Libertad,Supermercado,Nublado,Medio,43,6
74,2025-07-14 18:25:56.211684,San Miguel,Tienda en línea,Nublado,Medio,44,6
75,2025-03-20 21:51:40.260859,La Libertad,Tienda en línea,Nublado,Bajo,18,0
76,2025-07-04 08:52:54.165772,San Salvador,Tienda en línea,Lluvioso,Alto,48,12
77,2025-05-25 06:38:16.854605,San Miguel,Tienda en línea,Lluvioso,Bajo,34,8
78,2025-07-26 19:36:18.870744,San Salvador,Tienda en línea,Lluvioso,Medio,57,20
79,2025-05-06 08:54:56.073618,La Libertad,Farmacia,Nublado,Medio,44,8
80,2025-08-12 03:48:34.253832,La Libertad,Restaurante,Lluvioso,Alto,49,16
81,2025-08-08 04:50:12.146343,La Libertad,Farmacia,Nublado,Alto,34,11
82,2025-03-05 12:25:25.308530,La Libertad,Restaurante,Nublado,Bajo,23,0
83,2025-06-02 11:17:54.914284,Santa Ana,Farmacia,Nublado,Alto,42,7
84,2025-03-26 21:52:29.237431,Santa Ana,Restaurante,Lluvioso,Alto,46,22
85,2025-08-07 00:35:21.879393,Santa Ana,Restaurante,Nublado,Bajo,39,4
86,2025-08-26 21:53:38.915267,La Libertad,Tienda en línea,Soleado,Bajo,31,0
87,2025-05-03 21:20:57.923545,Santa Ana,Restaurante,Lluvioso,Alto,41,17
88,2025-06-05 14:39:42.650447,Santa Ana,Supermercado,Nublado,Medio,53,19
89,2025-06-14 20:16:41.713190,Santa Ana,Farmacia,Lluvioso,Bajo,46,12
90,2025-03-20 01:00:04.929687,San Miguel,Restaurante,Soleado,Bajo,20,0
91,2025-05-04 13:24:42.621679,Santa Ana,Restaurante,Lluvioso,Medio,40,4
92,2025-03-07 10:25:36.899895,La Libertad,Farmacia,Soleado,Alto,48,21
93,2025-03-19 01:30:15.212679,San Salvador,Supermercado,Nublado,Medio,36,7
94,2025-07-22 02:50:20.315971,Santa Ana,Farmacia,Nublado,Alto,41,19
95,2025-06-18 01:30:08.973699,San Salvador,Restaurante,Soleado,Medio,48,14
96,2025-05-30 03:16:06.453351,La Libertad,Restaurante,Soleado,Bajo,31,9
97,2025-04-10 04:18:32.989194,San Salvador,Supermercado,Soleado,Medio,33,0
98,2025-05-05 15:29:53.461619,San Salvador,Restaurante,Lluvioso,Medio,50,19
99,2025-07-29 15:46:30.177156,San Miguel,Farmacia,Nublado,Bajo,34,11
100,2025-03-03 11:06:59.050942,Santa Ana,Farmacia,Soleado,Alto,55,29
101,2025-06-02 13:14:22.207290,San Salvador,Farmacia,Soleado,Medio,34,5
102,2025-08-18 11:05:29.135164,San Miguel,Restaurante,Lluvioso,Alto,55,23
103,2025-08-31 12:53:32.795159,La Libertad,Restaurante,Soleado,Bajo,25,3
104,2025-03-16 06:24:40.306053,La Libertad,Tienda en línea,Soleado,Alto,45,9
105,2025-08-14 14:52:05.063740,San Salvador,Supermercado,Soleado,Alto,56,32
106,2025-04-19 15:06:57.895799,La Libertad,Tienda en línea,Soleado,Bajo,27,6
107,2025-08-01 16:51:08.621361,Santa Ana,Farmacia,Nublado,Bajo,37,6
108,2025-07-30 09:03:32.082452,Santa Ana,Supermercado,Lluvioso,Alto,64,32
109,2025-07-28 19:12:35.118555,San Salvador,Farmacia,Soleado,Medio,49,22
110,2025-05-01 18:36:44.054315,La Libertad,Tienda en línea,Nublado,Alto,44,14
111,2025-07-11 17:17:19.136222,La Libertad,Restaurante,Soleado,Alto,59,26
112,2025-08-05 18:28:40.072896,San Miguel,Restaurante,Lluvioso,Alto,54,24
113,2025-07-15 20:43:21.885251,La Libertad,Tienda en línea,Lluvioso,Bajo,44,16
114,2025-04-08 15:32:44.972048,La Libertad,Restaurante,Lluvioso,Medio,50,22
115,2025-07-08 11:34:07.177108,La Libertad,Restaurante,Lluvioso,Alto,69,34
116,2025-03-06 03:56:42.905491,Santa Ana,Tienda en línea,Soleado,Bajo,39,4
117,2025-07-14 13:26:32.863782,La Libertad,Supermercado,Nublado,Bajo,40,16
